item_id,scoring_system,condition,model,reasoning,raw_output,parsed_answer,determinable_case,correct,input_tokens,output_tokens,reasoning_tokens
IT035,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,257.0,1818.0,1817.0
IT035,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,173.0,1005.0,1004.0
IT035,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,206.0,1982.0,1981.0
IT035,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,257.0,1563.0,1562.0
IT035,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,173.0,4748.0,4747.0
IT035,Apgar Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,170.0,1630.0,1629.0
IT035,Apgar Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,168.0,1865.0,1864.0
IT037,Apgar Score,baseline,Claude Opus 4.5,high,B,B,B,1,148.0,684.0,683.0
IT037,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,190.0,1042.0,1041.0
IT037,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,241.0,985.0,984.0
IT037,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,157.0,1728.0,1727.0
IT037,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,190.0,832.0,831.0
IT037,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,241.0,1731.0,1730.0
IT037,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,157.0,727.0,726.0
IT037,Apgar Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,155.0,925.0,924.0
IT037,Apgar Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,155.0,1164.0,1163.0
IT042,Apgar Score,baseline,Claude Opus 4.5,high,B,B,B,1,167.0,967.0,966.0
IT042,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,209.0,4206.0,4205.0
IT042,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,260.0,5921.0,5920.0
IT042,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,176.0,1033.0,1032.0
IT042,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,209.0,1231.0,1230.0
IT042,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,260.0,1758.0,1757.0
IT042,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,176.0,1186.0,1185.0
IT042,Apgar Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,176.0,1113.0,1112.0
IT042,Apgar Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,175.0,6121.0,6120.0
IT043,Apgar Score,baseline,Claude Opus 4.5,high,B,B,B,1,150.0,1399.0,1398.0
IT043,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,192.0,5651.0,5650.0
IT043,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,B,0,243.0,3253.0,3252.0
IT043,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,159.0,1252.0,1251.0
IT043,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,192.0,1083.0,1082.0
IT043,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,243.0,1053.0,1052.0
IT043,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,159.0,910.0,909.0
IT043,Apgar Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,157.0,847.0,846.0
IT043,Apgar Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,157.0,869.0,868.0
IT049,BISAP Score,baseline,Claude Opus 4.5,high,B,B,B,1,172.0,1999.0,1998.0
IT049,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,209.0,1162.0,1161.0
IT049,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,299.0,2350.0,2349.0
IT049,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,183.0,1332.0,1331.0
IT049,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,209.0,4180.0,4179.0
IT049,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,299.0,2771.0,2770.0
IT049,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,183.0,928.0,927.0
IT049,BISAP Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,181.0,1002.0,1001.0
IT049,BISAP Score,rel_to_und,Claude Opus 4.5,high,A,A,B,0,180.0,614.0,613.0
IT050,BISAP Score,baseline,Claude Opus 4.5,high,B,B,B,1,178.0,835.0,834.0
IT050,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,215.0,697.0,696.0
IT050,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,305.0,749.0,748.0
IT050,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,189.0,780.0,779.0
IT050,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,215.0,1009.0,1008.0
IT050,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,305.0,1120.0,1119.0
IT050,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,189.0,817.0,816.0
IT050,BISAP Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,186.0,830.0,829.0
IT050,BISAP Score,rel_to_und,Claude Opus 4.5,high,A,A,B,0,187.0,984.0,983.0
IT051,BISAP Score,baseline,Claude Opus 4.5,high,B,B,A,0,177.0,1115.0,1114.0
IT051,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,A,0,214.0,2955.0,2954.0
IT051,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,304.0,5713.0,5712.0
IT051,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,188.0,4030.0,4029.0
IT051,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,A,0,214.0,714.0,713.0
IT051,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,304.0,1209.0,1208.0
IT051,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,188.0,1328.0,1327.0
IT051,BISAP Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,185.0,1576.0,1575.0
IT051,BISAP Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,185.0,1122.0,1121.0
IT055,BISAP Score,baseline,Claude Opus 4.5,high,A,A,A,1,177.0,5756.0,5755.0
IT055,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,214.0,3999.0,3998.0
IT055,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,304.0,4174.0,4173.0
IT055,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,188.0,1670.0,1669.0
IT055,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,214.0,5676.0,5675.0
IT055,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,304.0,5605.0,5604.0
IT055,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,188.0,1641.0,1640.0
IT055,BISAP Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,186.0,934.0,933.0
IT055,BISAP Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,186.0,1495.0,1494.0
IT057,BISAP Score,baseline,Claude Opus 4.5,high,A,A,A,1,179.0,699.0,698.0
IT057,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,216.0,786.0,785.0
IT057,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,306.0,1499.0,1498.0
IT057,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,190.0,2498.0,2497.0
IT057,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,216.0,662.0,661.0
IT057,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,306.0,1101.0,1100.0
IT057,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,190.0,831.0,830.0
IT057,BISAP Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,187.0,743.0,742.0
IT057,BISAP Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,187.0,665.0,664.0
IT058,BISAP Score,baseline,Claude Opus 4.5,high,A,A,A,1,174.0,797.0,796.0
IT058,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,211.0,2975.0,2974.0
IT058,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,301.0,6759.0,6758.0
IT058,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,185.0,1179.0,1178.0
IT058,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,A,0,211.0,5194.0,5193.0
IT058,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,301.0,3268.0,3267.0
IT058,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,185.0,5502.0,5501.0
IT058,BISAP Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,182.0,837.0,836.0
IT058,BISAP Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,186.0,744.0,743.0
IT059,BISAP Score,baseline,Claude Opus 4.5,high,B,B,B,1,182.0,1097.0,1096.0
IT059,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,219.0,4915.0,4914.0
IT059,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,309.0,3482.0,3481.0
IT059,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,B,0,193.0,1420.0,1419.0
IT059,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,219.0,2991.0,2990.0
IT059,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,309.0,1084.0,1083.0
IT059,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,193.0,1589.0,1588.0
IT059,BISAP Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,190.0,1767.0,1766.0
IT059,BISAP Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,188.0,2714.0,2713.0
IT062,BISAP Score,baseline,Claude Opus 4.5,high,B,B,B,1,179.0,894.0,893.0
IT062,BISAP Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,216.0,970.0,969.0
IT062,BISAP Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,306.0,873.0,872.0
IT062,BISAP Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,190.0,837.0,836.0
IT062,BISAP Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,216.0,764.0,763.0
IT062,BISAP Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,306.0,803.0,802.0
IT062,BISAP Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,190.0,791.0,790.0
IT062,BISAP Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,185.0,774.0,773.0
IT062,BISAP Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,191.0,715.0,714.0
IT067,Bishop Score,baseline,Claude Opus 4.5,high,B,B,B,1,189.0,7396.0,7395.0
IT067,Bishop Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,234.0,4726.0,4725.0
IT067,Bishop Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,325.0,3459.0,3458.0
IT067,Bishop Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,197.0,5299.0,5298.0
IT067,Bishop Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,234.0,4452.0,4451.0
IT067,Bishop Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,325.0,7455.0,7454.0
IT067,Bishop Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,197.0,2877.0,2876.0
IT067,Bishop Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,201.0,1711.0,1710.0
IT067,Bishop Score,rel_to_und,Claude Opus 4.5,high,A,A,B,0,195.0,5885.0,5884.0
IT069,Bishop Score,baseline,Claude Opus 4.5,high,A,A,A,1,197.0,1107.0,1106.0
IT069,Bishop Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,242.0,5360.0,5359.0
IT069,Bishop Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,333.0,4976.0,4975.0
IT069,Bishop Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,205.0,1277.0,1276.0
IT069,Bishop Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,242.0,983.0,982.0
IT069,Bishop Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,333.0,5469.0,5468.0
IT069,Bishop Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,205.0,5398.0,5397.0
IT069,Bishop Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,203.0,2025.0,2024.0
IT069,Bishop Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,202.0,8241.0,8240.0
IT071,Bishop Score,baseline,Claude Opus 4.5,high,A,A,A,1,200.0,1414.0,1413.0
IT071,Bishop Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,245.0,4647.0,4646.0
IT071,Bishop Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,336.0,1625.0,1624.0
IT071,Bishop Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,208.0,5642.0,5641.0
IT071,Bishop Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,245.0,1073.0,1072.0
IT071,Bishop Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,336.0,3294.0,3293.0
IT071,Bishop Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,208.0,1252.0,1251.0
IT071,Bishop Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,207.0,1342.0,1341.0
IT071,Bishop Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,212.0,4116.0,4115.0
IT073,Bishop Score,baseline,Claude Opus 4.5,high,B,B,B,1,187.0,879.0,878.0
IT073,Bishop Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,232.0,5420.0,5419.0
IT073,Bishop Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,323.0,5065.0,5064.0
IT073,Bishop Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,195.0,3833.0,3832.0
IT073,Bishop Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,232.0,3491.0,3490.0
IT073,Bishop Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,323.0,822.0,821.0
IT073,Bishop Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,195.0,938.0,937.0
IT073,Bishop Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,193.0,877.0,876.0
IT073,Bishop Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,192.0,5536.0,5535.0
IT076,Bishop Score,baseline,Claude Opus 4.5,high,B,B,B,1,200.0,4806.0,4805.0
IT076,Bishop Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,245.0,5961.0,5960.0
