scoring_system,condition,n_sentences,added_tokens,irrelevant_text
Bishop Score,2x,2,40,"Her mother had mild seasonal allergies. A paternal uncle was diagnosed with routine hyperlipidemia in his late fifties, which was successfully managed with dietary modifications rather than requiring lifelong cholesterol lowering medications."
Bishop Score,4x,5,118,"Her mother had mild seasonal allergies. A paternal uncle was diagnosed with routine hyperlipidemia in his late fifties, which was successfully managed with dietary modifications rather than requiring lifelong cholesterol lowering medications. Medical records indicated a childhood rash following cephalosporin exposure, so she consistently reminded her healthcare providers to avoid prescribing that specific class of antibiotics whenever possible. She reported a documented intolerance to codeine that caused severe nausea, prompting her to rely exclusively on plain acetaminophen for rare episodes of mild tension headaches. She occasionally applied an over the counter hydrocortisone skin ointment."
Blatchford Score,matched,1,8,The patient had a penicillin allergy.
Blatchford Score,2x,3,45,"The patient had a penicillin allergy. Although the patient developed hives after taking amoxicillin during childhood, he currently tolerated his regular prescription for an antifungal nail lacquer without any complications. He took daily vitamin C supplements."
Blatchford Score,4x,6,128,"The patient had a penicillin allergy. Although the patient developed hives after taking amoxicillin during childhood, he currently tolerated his regular prescription for an antifungal nail lacquer without any complications. He took daily vitamin C supplements. He took a daily over-the-counter vitamin D supplement, and his family history was notable only for a maternal aunt with mild age-related hearing loss. While his younger brother was highly allergic to bee stings, the patient possessed no known insect venom hypersensitivities and safely spent time outdoors. His paternal grandfather experienced severe environmental allergies, but the patient himself only noted a mild localized sensitivity to certain generic adhesive bandages."
CHA2DS2-VASc Score,matched,1,7,There were no known latex allergies.
CHA2DS2-VASc Score,2x,3,46,There were no known latex allergies. The patient took daily oral omeprazole for gastroesophageal reflux disease and had a family history of benign colonic polyps removed during routine screening procedures. The patient took daily vitamin C.
CHA2DS2-VASc Score,4x,6,142,"There were no known latex allergies. The patient took daily oral omeprazole for gastroesophageal reflux disease and had a family history of benign colonic polyps removed during routine screening procedures. The patient took daily vitamin C. The patient reported a mild localized rash from certain adhesive medical tapes but denied any severe medication reactions. In addition to the previously mentioned supplements and reflux therapy, the daily regimen included an oral probiotic and an over the counter antihistamine for seasonal environmental allergies. A detailed review of the family history revealed that relatives on both sides suffered from recurrent symptomatic gallstones and mild degenerative joint disease, though none required major surgical interventions or prolonged hospitalizations for these chronic orthopedic or biliary conditions."
CHADS2 Score,matched,1,7,Family history included maternal osteoarthritis.
CHADS2 Score,2x,2,33,"Family history included maternal osteoarthritis. The patient reported a severe allergy to macrolide antibiotics, which historically caused significant gastrointestinal upset and a diffuse skin rash during childhood."
CHADS2 Score,4x,5,98,"Family history included maternal osteoarthritis. The patient reported a severe allergy to macrolide antibiotics, which historically caused significant gastrointestinal upset and a diffuse skin rash during childhood. According to the medical record, the patient took oral levothyroxine each morning to manage a long-standing history of uncomplicated primary hypothyroidism. Current regular medications included a daily oral zinc tablet and a nonprescription antihistamine taken during the spring months for seasonal allergic rhinitis. The patient had a penicillin allergy."
CURB-65 Score,matched,1,9,The patient took a daily multivitamin.
CURB-65 Score,2x,3,51,The patient took a daily multivitamin. The patient maintained a daily regimen of glucosamine chondroitin supplements for general joint health and occasionally utilized a nonprescription throat lozenge for minor vocal irritation. Family history included maternal breast cancer.
CURB-65 Score,4x,7,158,"The patient took a daily multivitamin. The patient maintained a daily regimen of glucosamine chondroitin supplements for general joint health and occasionally utilized a nonprescription throat lozenge for minor vocal irritation. Family history included maternal breast cancer. The patient took daily levothyroxine to manage mild hypothyroidism and carefully avoided all adhesive medical tape due to a well-documented history of contact dermatitis. A maternal aunt was previously treated for localized melanoma, while the patient applied a prescribed topical hydrocortisone cream to treat occasional eczema exacerbations. Additional routine pharmacological therapy included a daily dose of nonprescription loratadine to effectively manage seasonal environmental allergies during the early spring months. Furthermore, the broader family history was completely negative for any inherited eye conditions or autoimmune disorders."
Centor Score,matched,1,7,The patient had a latex allergy.
Centor Score,2x,2,32,"The patient had a latex allergy. The patient reported severe gastrointestinal upset when consuming soy products, and maintained a daily regimen of oral zinc supplements for general nutritional support."
Centor Score,4x,5,81,"The patient had a latex allergy. The patient reported severe gastrointestinal upset when consuming soy products, and maintained a daily regimen of oral zinc supplements for general nutritional support. Regular prescriptions included a levothyroxine tablet for well controlled hypothyroidism, while the extended family history revealed a brother with a minor inguinal hernia repair. The patient took a daily multivitamin. Family history included maternal glaucoma."
Child-Pugh Classification,matched,1,9,A paternal grandmother suffered from chronic plaque psoriasis.
Child-Pugh Classification,2x,3,46,"A paternal grandmother suffered from chronic plaque psoriasis. Current maintenance medications consisted of latanoprost eye drops for mild glaucoma, a condition that was also present in several older members of the extended family. Sulfa drugs caused a rash."
Child-Pugh Classification,4x,6,131,"A paternal grandmother suffered from chronic plaque psoriasis. Current maintenance medications consisted of latanoprost eye drops for mild glaucoma, a condition that was also present in several older members of the extended family. Sulfa drugs caused a rash. A daily calcium supplement was taken on a regular basis, while past administration of oral tetracycline was strictly avoided due to a history of severe nausea. An older sibling was previously treated for recurrent kidney stones, though no other relatives shared this particular genitourinary problem or any related metabolic disorders. A maternal aunt was known to have chronic gout, while the patient only reported a mild contact dermatitis in response to generic nickel jewelry."
Glasgow-Imrie Score,matched,1,9,Routine medications included oral levothyroxine.
Glasgow-Imrie Score,2x,3,66,"Routine medications included oral levothyroxine. A documented allergy to ciprofloxacin was noted in the electronic medical record, which previously resulted in a mild macular rash across the upper extremities. There was a documented family history of mild color blindness on the paternal side, but no other significant genetic conditions were reported during the interview."
Glasgow-Imrie Score,4x,9,198,"Routine medications included oral levothyroxine. A documented allergy to ciprofloxacin was noted in the electronic medical record, which previously resulted in a mild macular rash across the upper extremities. There was a documented family history of mild color blindness on the paternal side, but no other significant genetic conditions were reported during the interview. To manage intermittent tension headaches, the patient occasionally used oral acetaminophen, a practice that was also common among several other members of the immediate family. To manage seasonal pollen allergies, the patient routinely utilized a generic fluticasone nasal spray every spring without experiencing any localized irritation or nosebleeds. The patient reported a maternal family history of severe astigmatism, though they did not personally require any corrective lenses or specialized ophthalmologic care. Due to occasional mild acid reflux after large meals, the patient took a daily dose of omeprazole without experiencing any negative side effects. Sulfa medications caused severe hives previously. Family history included maternal migraines."
HAS-BLED Score,matched,1,6,Family history included maternal glaucoma.
HAS-BLED Score,2x,3,43,Family history included maternal glaucoma. Current regular medications included a morning dose of oral cholecalciferol for bone support and an over-the-counter biotin supplement for general nail health. He reported a mild latex allergy.
HAS-BLED Score,4x,6,124,"Family history included maternal glaucoma. Current regular medications included a morning dose of oral cholecalciferol for bone support and an over-the-counter biotin supplement for general nail health. He reported a mild latex allergy. The patient maintained a daily regimen of oral cetirizine to manage seasonal allergies, and he denied any adverse reactions to macrolide antibiotics. He previously developed a mild pruritic rash after taking ciprofloxacin, which was subsequently recorded as a documented allergy in his permanent medical chart. His family history was significant for a paternal grandmother who experienced severe macular degeneration, though his own vision remained unaffected."
Khorana Score,matched,1,11,The patient had a documented allergy to sulfa antibiotics.
Khorana Score,2x,2,46,"The patient had a documented allergy to sulfa antibiotics. According to the outpatient clinical notes, the patient regularly used a prescribed latanoprost eyedrop for elevated intraocular pressure and had a cousin with severe male pattern baldness."
Khorana Score,4x,6,153,"The patient had a documented allergy to sulfa antibiotics. According to the outpatient clinical notes, the patient regularly used a prescribed latanoprost eyedrop for elevated intraocular pressure and had a cousin with severe male pattern baldness. Regular medications included a daily oral dose of loratadine to manage seasonal allergic rhinitis, but the patient denied taking any other prescription antihistamines. The patient applied a topical terbinafine ointment for mild athlete's foot and took a daily nonprescription calcium supplement to support general bone health. Current pharmacy records showed active prescriptions for oral fluoxetine to treat mild depressive symptoms, while the updated allergy profile noted a mild rash from contrast dye alongside the previously documented antibiotic sensitivity. Both parents had severe osteoarthritis of the knees and hips."
ORBIT Bleeding Score,matched,1,8,Family history included maternal hypothyroidism.
ORBIT Bleeding Score,2x,3,37,"Family history included maternal hypothyroidism.  A paternal aunt had chronic asthma. The patient reported a mild penicillin allergy, and took daily vitamin supplements alongside several other routine home medications."
ORBIT Bleeding Score,4x,6,112,"Family history included maternal hypothyroidism.  A paternal aunt had chronic asthma. The patient reported a mild penicillin allergy, and took daily vitamin supplements alongside several other routine home medications.  An additional allergy to sulfa drugs was documented in the medical record, which had previously caused a mild localized skin rash. The home medication list also contained a daily oral antihistamine tablet for seasonal environmental allergies and a moisturizing topical lotion for dry skin. A younger sibling had a known history of seasonal allergic rhinitis, but the remaining family history was entirely unremarkable."
SIRS Criteria,matched,1,10,There was a familial history of macular degeneration.
SIRS Criteria,2x,2,39,"There was a familial history of macular degeneration. Although the medical record indicated a mild intolerance to erythromycin, the patient regularly consumed standard melatonin tablets every night to assist with occasional sleep difficulties."
SIRS Criteria,4x,5,122,"There was a familial history of macular degeneration. Although the medical record indicated a mild intolerance to erythromycin, the patient regularly consumed standard melatonin tablets every night to assist with occasional sleep difficulties. While the patient possessed a known hypersensitivity to specific laundry detergents, there was absolutely no family history of similar dermatological sensitivities among close relatives. The patient applied a topical minoxidil solution daily to address mild hair thinning, a cosmetic condition shared by several male relatives on the paternal side. Previous clinical documentation highlighted a documented allergy to adhesive tape, which consistently caused localized skin irritation whenever applied during routine outpatient procedures."
